Team,Network,Ratings
Detroit Red Wings,FS Detroit,-36% (2.07)
Dallas Stars,FS Southwest,-42% (0.38)
Anaheim Ducks,Prime Ticket,-50% (0.22)
Colorado Avalanche,Altitude,-64% (0.6)
Columbus Blue Jackets,FS Ohio,+118% (2.09)
Minnesota Wild,FS North,+35% (4.40)
New Jersey Devils,MSG+,+30% (0.39)
Washington Capitals,CSN Mid-Atlantic,+14% (1.29)
Florida Panthers,FS Florida,+12% (0.28)
St. Louis Blues,FS Midwest,+12% (4.15)
